iter	RMSE
466	3.99708333
121	5.15470988
614	3.699915209
20	9.338524633
700	3.531040284
71	5.682732647
106	5.251619772
270	4.558165805
860	3.24975301
435	4.063823175
102	5.288350766
